label,content
1, livesey solntze.wpd.sgi.com jon livesey subject re pompous ass in article 1qlef4inn8dn gap.caltech.edu keith cco.caltech.edu keith allan schneider writes livesey solntze.wpd.sgi.com jon livesey writes ... the `` little things '' above were in reference to germany clearly people said that there were similar things in germany but no one could name any that 's not true i gave you two examples one was the rather pevasive anti-semitism in german christianity well before hitler arrived the other was the system of social ranks that were used in imperail germany and austria to distinguish jews from the rest of the population these do n't seem like `` little things '' to me at least they are orders worse than the motto do you think that the motto is a `` little thing '' that will lead to worse things you do n't think these are little things because with twenty-twenty hindsight you know what they led to jon
1, minsky media.mit.edu marvin minsky an interesting bunch .... i wonder where is hee hee hee i ai n't going to say .... -- `` whatever promises that have been made can than be broken. `` john laws a man without the honor to keep his given word
1, livesey solntze.wpd.sgi.com jon livesey subject re `` cruel '' was re political atheists in article 1qnpe2inn8b0 gap.caltech.edu keith cco.caltech.edu keith allan schneider writes livesey solntze.wpd.sgi.com jon livesey writes they spent quite a bit of time on the wording of the constitution i realise that this is widely held belief in america but in fact the clause on cruel and unusual punishments like a lot of the rest was lifted from the english bill of rights of just because the wording is elsewhere does not mean they did n't spend much time on the wording in the part of the posting you have so helpfully deleted i pointed out that they used the wording from the english bill of rights apparently changing what they understood by it and i asked why then should we two hundred years later be bound by what keith allan schneider thinks they understood by it we have already looked in the dictionary to define the word is n't this sufficient since the dictionary said that a lack of mercy or an intent to inflict injury or grief counted as `` cruel '' sure people can be described as cruel in this way but punishments can not so one can not say `` a cruel fate '' your prevarications are getting increasingly unconvincing i think jon
1, agrino enkidu.mic.cl andres grino brandt subject studies on book of mormon hi i do n't know much about mormons and i want to know about serious independent studies about the book of mormon i do n't buy the 'official story about the gold original taken to heaven but have n't read the book of mormon by myself i have to much work learning biblical hebrew i will appreciate any comment about the results of study in style vocabulary place-names internal consistency and so on for example there is evidence for one-writer or multiple writers there are some mention about events places or historical persons later discovered by archeologist yours in collen andres grino brandt casilla santiago agrino enkidu.mic.cl chile no hay mas realidad que la realidad y la razon es su profeta
1, pww spacsun.rice.edu peter walker subject re the universe and black holes was re years ..... in article 1993apr20.154658 iastate.edu kv07 iastate.edu warren vonroeschlaub wrote let 's say that we drop a marble into the black hole it races ever faster towards the even horizon but thanks to the curving of space caused by the excessive gravity as the object approaches the event horizon it has further to travel integrating the curve gives a time to reach the event horizon of infinity so the math says that nothing can enter a black hole not true only an observer at rest at infinite distance from the black hole will see the particle take infinite time to reach the horizon in the particle 's own reference frame it takes a very finite time to reach the horizon and the singularity the math does indeed predict this take a look at mitchner thorne and wheeler 's _gravitation_ peter walker do n't forget to sing they say there 's a heaven for those who will wait some say it 's better but i say it ain't i 'd rather laugh with the sinners than cry with the saints the sinners are much more fun only the good die young
1, a137490 lehtori.cc.tut.fi aario sami subject re genocide is caused by atheism in kmr4.1466.734160929 po.cwru.edu kmr4 po.cwru.edu keith m. ryan writes `` wait you just said that humans are rarely reasonable does n't that contradict atheism where everything is explained through logic and reason this is the contradiction in atheism that proves it false '' -- bobby mozumder proving the existence of allah does anybody have bobby 's post in which he said something like `` i don't know why there are more men than women in islamic countries maybe it's atheists killing the female children '' it 's my personal favorite -- sami aario `` can you see or measure an atom yet you can explode a137490 cc.tut.fi one sunlight is comprised of many atoms '' -- -- -- -- -- -- -- -- -- `` your stupid minds stupid stupid '' eros in `` plan outer space '' disclaimer i do n't agree with eros
1, darice yoyo.cc.monash.edu.au fred rice subject re slavery was re why is sex only allowed in marriage ... in 1993apr4.200253.21409 ennews.eas.asu.edu guncer enuxha.eas.asu.edu selim guncer writes you might not like what bernard lewis writes about label him as a zionist or such to discredit him etc you misrepresent me selim the hard evidence for my statements about his lack of objectivity are presented quite clearly in the book '' orientalism '' by edward said edward said by the way is a christian not a muslim i think he is pretty much objective in his treatment in `` race and slavery in the middle east '' since he clearly distinguishes between slavery under islam and the practice of slavery in other countries like the us prior to the civil war he also does not conceal that there are verses in the quran which promote the liberation of slaves what he does n't and i do n't think nobody can deduce from these verses is that slavery will eventually be abolished in islamic countries now you might rather conveniently blame the practice of slavery on muslims but the facts are out there i also fail to see the relevance of the claim of lewis being a `` zionist '' to what i wrote regarding bernard lewis him being a zionist gives him a political motive for his giving misrepresentations and half-truths about islam read `` orientalism '' by edward said -- see the evidence for yourself in fact i may post some of it here if it is n't too long they were encyclopaedic information which anybody can access that slavery was abolished at certain dates some years after muhammed that this was the cause of tensions in the ottoman empire between the arab slave traders and the government etc .. we also have in the asu library volumes of british documents on slavery where reports and documents concerning slavery all around the world can be found which i checked some of the incidents lewis mentions so i do n't think ones political stance has anything to do with documentary evidence i have n't read lewis 's article so i ca n't comment directly upon it and have only spoken about his writings _in general_ so far that his political motives make him a biased writer on islam his anti-islamic polemics as i understand it are often quite subtle and are often based on telling half-truths again read `` orientalism '' by edward said i am _not_ asking you to take what i say on trust in fact i am urging you not to do so but to get this book it is a well-known book and check the evidence out for _yourself_ the issue i raised was that slaves were used for sexual purposes when it was claimed that islam prohibits extra-marital sex i wrote that the prophet himself had concubines i wrote an incident in which the prophet advised on someone who did not want his concubine to get pregnant etc. which is contrary to the notion that `` sex is for procreation only '' in other words such claims are baseless in the quran and the hadith if slavery is _in reality_ as opposed to in the practice of some muslims opposed by islam then using slaves for sexual purposes is necessarily opposed too i seem to be unsuccesful in getting through to you islam is not `` advocating '' slavery slavery was an existing institution in the 7th century it advised on slaves being freed for good deeds etc. which is nothing new many cultures saw this as a good thing what is the problem here but i can argue rightfully that slaves were discouraged about thinking about their statuses politically the quran rewards the good slave so obey your master and perhaps one day you 'll be free but it is very understandable that i do not communicate with muslims since they assume the quran is from a `` god '' and i think it is a rule-based system imposed on the society for preservation of the status quo slaves are a part of this system the subordination of women so that their function in society boils down to child-making is a part of this system etc i understand your point of view selim -- i think rather it is _us_ who are not getting through to _you_ some of the points you repeat above i have already answered before regarding women i have made posting after posting on this subject showing that islam is not anti-woman etc however have you been completely ignoring my postings or just missing them i just reposted a very good one under the title `` islam and women '' reposted from soc.religion.islam if this has already disappeared from your site then please email me telling me so and i will email you a copy of this excellent article imho your understanding of the issue of women in islam is sadly deficient regarding slaves _my_ posting on slavery -- the second one i made which is a repost of an article i wrote early last year -- is based completely on the qur'an and contains numerous qur'anic verses and hadiths to support its point of view our approaches are different -- you are arguing from a historical standpoint and i am arguing directly from the teachings of the qur'an and hadiths now just because people say they are muslims and perform a particular action does that automatically mean that their action is part of islam even if it is opposed by the qur'an and sunnah no of course not let me give you a concrete example which might help clarify this for you the qur'an prohibits drinking now if a person says `` i am a muslim '' and then proceeds to drink a bottle of beer does this now mean that islam teaches that people should drink beer of course not and only an idiot would think so do you see my point it is very natural to think that the author/authors of the quran had no idea that the socio-economic structure they were advocating would experience at least two paradigm shifts in years in the western cultures first with the end of the feudal era and the rise of commerce second with the industrial revolution well rules have changed and the status quo has driven muslim countries into misery trying to survive in a `` heathen '' world muslim countries have failed economically they were unable to accumulate any wealth directly due to the uncomprimising economic rules in the quran in fact the rise of islam can easily be modeled after the pyramid effect you do not produce any wealth at home but increase your wealth by conquering places you are judging islam here on capitalist terms capitalism is an ideology based largely on the assumption that people want to maximise their wealth -- this assumption is in opposition to islamic teachings to say islam is bad because it is not capitalist is pretty unthinking -- islam does not pretend to be capitalist and does not try to be capitalist this does not mean that islam does not support a free-market -- for it does in general -- but there are other parts of capitalism which are opposed to islam as i understand it when this stopped you and i were left bare in the open for emperialists to devour no capital no industry very poor social services the education level in muslim countries are the lowest in the world the health statistics are miserable etc .. one can postulate numerous reasons for this your theory is that it is because islam is not secularist and capitalist etc etc selim i will give you a clear historical example to show you the fallacy of your views if you think as you obviously do that islam lack of education and power for a large part of history the islamic world was very powerful for a significant section of history the islamic world was the foremost in the sciences so to say that islam is for example anti-education is completely absurd you try to blame this situation on islam -- history shows that your conclusion is false and that instead there must be other reasons for this situation you blame muslims for not following the quran but i blame muslims for following the quran well selim your viewpoint on women in islam makes me question the extent of your knowledge of islam i really think you are not knowledgeable enough to be able to judge whether the muslims are following the qur'an or not your idea is baseless from historical facts it is a poor utopia the islamic world was at the forefront of the world in science at one stage -- yet somehow in your theory it is by `` following the qur'an '' that muslims are backwards in education selim it is _your_ thesis that is anti-historical for you conveniently overlook this historical fact which contradicts your theory while my ideas are derived from social and economic history you have certainly not shown this you have merely stated it so far it seems to me that your view on islam being anti-education is quite contrary to history that you are so convinced of your views makes me wonder just how objectively you are trying to look at all of this my solution to all muslims is simple cut the crap i think selim you should consider taking your own advice get the facts straight here too and work hard to reverse the effects of years of ignorance selim you have such conviction of your viewpoint yet you demonstrate ignorance not only of islam but also of islamic history particularly with respect to muslims being leaders of science till about or so i think yet you say that your viewpoint is based on history selim if i remember right you say in one of your earlier posts that you are an apostate from islam i think you should slow down and start thinking clearly about the issues and start _reading_ some of our postings about islam rather than ignoring them as you so obviously have fred rice darice yoyo.cc.monash.edu.au
1," jbrown batman.bmd.trw.com subject re death penalty gulf war long in article 930420.105805.0x8.rusnews.w165w mantis.co.uk mathew mathew mantis.co.uk writes jbrown batman.bmd.trw.com writes in article 930419.115707.6f2.rusnews.w165w mantis.co.uk mathew mathew mantis.co.uk writes which `` liberal news media '' are we talking about western news in general but in particular the american `` mass media '' cbs nbc abc etc the general tone of the news during the whole war was one of `` those poor poor iraqis '' along with `` look how precisely this cruise missile blew this building to bits '' most odd over here there was very little about the suffering of the iraqi civilians until towards the end of the war and then it was confined to the few remaining quality newspapers true at first the news media seemed entranced by all the new gizmos the military was using not to mention the taped video transmissions from the missiles as they zeroed in on their targets but later and especially after the bunker full of civilians was hit they changed their tone it seemed to me that they did n't have the stomach for the reality of war that innocent people really do die and are maimed in warfare it 's like they were only pro-gulf-war as long as it was `` nice and clean '' smart missiles dropping in on military hqs but not when pictures of dead dying and maimed civilians started cropping up what naive hypocrites how about all the innocent people who died in blanket-bombing in ww2 i do n't hear you bemoaning them discussion about blanket-bombing and a-bombs deleted all things considered the fire-bombings and the atomic bomb were essential and therefore justified in bringing the war to a quick ^^^^^^^^^ end to avoid even greater allied losses i should have said here `` militarily justified '' it seems from your comments below that you understood this as meaning `` morally justified '' i apologize what about the evidence that america knew japan was about to surrender after hiroshima but before nagasaki is that another lie peddled by the liberal media conspiracy i have often wondered about this i 've always thought that the first bomb should have been dropped on japan 's island fortress of truk a good inpenatrable military target the second bomb could 've been held back for use on an industrial center if need be but i digress yes i have heard that we found evidence after the war btw that japan was seriously considering surrender after the first bomb unfortunately the military junta won out over the moderates and rejected the us's ulimatum therefore the second bomb was dropped most unfortunate imo i for one do n't regret it nuke a jap for jesus i do n't regret the fact that sometimes military decisions have to be made which affect the lives of innocent people but i do regret the circumstances which make those decisions necessary and i regret the suffering caused by those decisions ... why all the fuss about kuwait and not east timor bosnia or even tibet if iraq is so bad why were we still selling them stuff a couple of weeks before we started bombing i make no claim or effort to justify the misguided foreign policy of the west before the war it is evident that the west especially america misjudged hussein drastically but once hussein invaded kuwait and threatened to militarily corner a significant portion of the world's oil supply he had to be stopped oh i see so we can overlook his using chemical weapons on thousands of people but if he threatens your right to drive a huge gas-guzzling car well the man 's got ta go actually it was the fact that both situations existed that prompted us and allied action if some back-water country took over some other back-water country we probably would n't intervene not that we don't care but we ca n't be the world 's policman or if a coup had occured in kuwait instead of an invasion then we still would n't have acted because there would not have been the imminent danger perceived to saudi arabia but the combination of the two an unprovoked invasion by a genocidal tyrant and the potential danger to the west 's oil interests caused us to take action i 've moved a paragraph from here to later on ... if we had n't intervened allowing hussein to keep kuwait then it would have been appeasement right but did you ever hear anyone advocate such a course of action or are you just setting up a strawman i 'm not setting up a strawman at all if you want to argue against the war then the only logical alternative was to allow hussein to keep kuwait diplomatic alternatives including sanctions were ineffective i guess we should n't have fought ww2 either -- just think of all those innocent german civilians killed in dresden and hamburg yes do germans are human too you know sure what was truly unfortunate was that they followed hitler in his grandiose quest for a `` thousand year reich '' the consequences stemmed from that translation `` they were asking for it '' well in a sense yes they probably had no idea of what end hitler would lead their nation to but what about those who did n't support hitler 's dreams of conquest it's not as if they democratically voted for all his policies the nsdap got in the elections of and that was the last chance the german people got to vote on the matter they suffered along with the rest why does this bother you so much the world is full of evil and circumstances are not perfect many innocents suffer due to the wrongful actions of others it it regretable but that 's the-way-it-is there are no perfect solutions ... i look forward to hearing your incisive comments about east timor and tibet what should i say about them anything in particular the people of east timor are still being killed by a dictatorship that invaded their country hell even western journalists have been killed all this was happening before the gulf war why did n't we send in the bombers to east timor why are n't we sending in the bombers now probably because we 're not the saviors of the world we ca n't police each and every country that decides to self-destruct or invade another nor are we in a strategic position to get relief to tibet east timor or some other places here 's that paragraph i moved what 's your intent to sound like a loving christian well you aren't doing a very good job of it well it 's not very `` loving '' to allow a hussein or a hitler to gobble up nearby countries and keep them or to allow them to continue with mass slaughter of certain peoples under their dominion so i 'd have to say yes stopping hussein was the most `` loving '' thing to do for the most people involved once he set his mind on military conquest the chinese government has a policy of mandatory abortion and sterilization of tibetans tibetan people are rounded up tortured and executed amnesty international recently reported that torture is still widespread in china why are n't we stopping them in fact why are we actively sucking up to them by trading freely with them tell me how we could stop them and i 'll support it i for one do not agree with the present us policy of `` sucking up to them '' as you put it i agree that it is deplorable and as for poor poor rodney king did you ever stop and think why the jury in the first trial brought back a verdict of `` not guilty '' yes amongst the things i thought were `` hmm there 's an awful lot of white people in that jury '' so it was the policemen on trial not rodney king erm surely it 's irrelevant who 's on trial juries are supposed to represent a cross-section of the population are they or are they supposed to reflect the population of the locale where the trial is held normally this is where the crime is committed unless one party or the other can convince the judge a change of venue is in order i 'm not an expert on california law or even us law but it seems that this is the way the system is set up you can criticize the system but let 's not have unfounded allegations of racial prejudice thrown around and under american law they deserved a jury of their peers you are saying that black people are not the peers of white people no not at all the point is that the fact that there were no blacks on the first jury and that rodney king is black is totally irrelevant this point of allegedly racial motivations is really shallow this idea of people only being tried before a jury of people just like them is really stupid should the nuremburg trials have had a jury entirely made up of nazis germans perhaps `` peers '' does n't mean `` those who do the same thing '' like having murderers judge murderers it means `` having people from the same station in life '' presumably because they are in a better position to understand the defendent 's motivation s those who have been foaming at the mouth for the blood of those policemen certainly have looked no further than the video tape but the jury looked at all the evidence evidence which you and i have not seen when i see a bunch of policemen beating someone who 's lying defenceless on the ground it 's rather hard to imagine what this other evidence might have been so it 's `` hard to imagine '' so when has argument from incredulity gained acceptance from the revered author of `` constructing a logical argument '' we 're not talking about a logical argument we 're talking about a court of law as the faq points out some fallacious arguments are not viewed as fallacies in a court of law ok granted however you are using this reasoning as part of your logical argument in this discussion this is not a court of law if the facts as the news commentators presented them are true then i feel the `` not guilty '' verdict was a reasonable one were you not talking earlier about the bias of the liberal media conspiracy the media is not totally monolithic even though there is a prevailing liberal bias programs such as the macneil-lehrer news hour try to give a balanced and fair reporting of the news there are even conservative sources out there if you know where to look hurrah for rush btw i never used the word `` conspiracy '' i do n't accept without far more evidence theories that there is some all-pervading liberal conspiracy attempting to take over all news sources `` thou shalt not kill ... unless thou hast a pretty good reason for killing in which case thou shalt kill and also kill anyone who gets in the way as unfortunately it can not be helped '' -- jim brown bible for loving christians thanks mathew i like the quote pretty funny actually i 'm a monty python fan you know kind of seems in that vein of course oversimplifying any moral argument can make it seem contradictory but then you know that already ha ha only serious i an atheist am arguing against killing innocent people you a supposed christian are arguing that it 's ok to kill innocent people so long as you get some guilty ones as well hardly i did n't say that it 's a good thing tm to kill innocent people if the end is just unfortunately we do n't live in a perfect world and there are no perfect solutions if one is going to resist tyranny then innocent people on both sides are going to suffer and die i did n't say it is ok -- it is unfortunate but sometimes necessary i a moral relativist am arguing that saturation bombing of german cities at the end of world war ii was as far as i can see an evil and unnecessary act i would agree that it was evil in the sense that it caused much pain and suffering i 'm not so sure that it was unnecessary as you say that conclusion can only be arrived at by evaluating all the factors involved and perhaps it was unnecessary as let 's say we now know that doesn't mean that those who had to make the decision to bomb did n't see it as being necessary rarely can one have full known of the consequences of an action before making a decision at the time it may have seemed necessary enough to go ahead with it but do n't assume that i feel the bombing was morally justified -- i do n't i just do n't condemn those who had to make a difficult decision under difficult circumstances you having criticised moral relativism in the past are now arguing that i am in no position to judge the morality of allied actions at the end of the war you certainly are not in such a position if you are a moral relativist i as an absolutist am in a position to judge but i defer judgment you are arguing that the actions need to be assessed in the particular context of the time and that they might have been moral then but not moral now wrong they were neither moral then nor now they seemed necessary to those making the decisions to bring a quick end to the war i simply refuse to condemn them for their decision where 's your christian love where 's your absolute morality oh how quick you are to discard them when it suits you as ivan stang would say `` jesus would puke '' one day i will stand before jesus and give account of every word and action even this discourse in this forum i understand the full ramifications of that and i am prepared to do so i do n't believe that you can make the same claim mathew and btw the reason i brought up the blanket-bombing in germany was because you were bemoaning the iraqi civilian casualties as being '' so deplorable '' yet blanket bombing was instituted because bombing was n't accurate enough to hit industrial/military targets in a decisive way by any other method at that time but in the gulf war precision bombing was the norm so the point was why make a big stink about the relatively few civilian casualties that resulted in spite of precision bombing when so many more civilians proportionately and quantitatively died under the blanket bombing in ww2 even with precision bombing mistakes happen and some civilians suffer but less civilians suffered in this war than any other iany other in history many iraqi civilians went about their lives with minimal interference from the allied air raids the stories of `` hundreds of thousands '' of iraqi civilian dead is just plain bunk yes bunk the us lost 230,000 servicemen in ww2 over four years and the majority of them were directly involved in fighting but we are expected to swallow that `` hundreds of thousands '' of civilian iraqis died in a war lasting about months and with the allies using the most precise bombs ever created at that what hogwash if `` hundreds of thousands '' of iraqi civilians died it was due to actions hussein took on his own people not due to the allied bombing regards jim b"
1, healta saturn.wwc.edu tammy r healy subject re free moral agency and kent s. in article sandvik-140493185034 sandvik-kent.apple.com sandvik newton.apple.com kent sandvik writes
1, ch981 cleveland.freenet.edu tony alicea subject southern baptist convention freemasonry with the southern baptist convention convening this june to consider the charges that freemasonry is incompatible with christianity i thought the following quotes by mr. james holly the anti-masonic flag carrier would amuse you all ... the following passages are exact quotes from `` the southern baptist convention and freemasonry '' by james l. holly m.d. president of mission and ministry to men inc. n 10th st. beaumont tx the inside cover of the book states `` mission ministry to men inc. hereby grants permission for the reproduction of part or all of this booklet with two provisions one the material is not changed and two the source is identified '' i have followed these provisions `` freemasonry is one of the allies of the devil '' page iv `` the issue here is not moderate or conservative the issue is god and the devil '' page vi '' `` it is worthwhile to remember that the formulators of public school education in america were freemasons '' page `` jesus christ never commanded toleration as a motive for his disciples and toleration is the antithesis of the christian message '' page `` the central dynamic of the freemason drive for world unity through fraternity liberty and equality is toleration this is seen in the writings of the 'great writers of freemasonry '' page `` he jesus christ established the most sectarian of all possible faiths '' page `` for narrowness and sectarianism there is no equal to the lord jesus christ '' page `` what seems so right in the interest of toleration and its cousins-liberty equality and fraternity-is actually one of the subtlest lies of the 'father of lies '' page `` the southern baptist convention has many churches which were founded in the lodge and which have corner stones dedicated by the lodge each of these churches should hold public ceremonies of repentance and of praying the blood and the name of the lord jesus christ over the church and renouncing the oaths taken at the dedication of the church and/or building '' page 53-54 tony
